date,team_1,t1_conf,team_2,t1_score,t2_score,win_loss
3/17/22,Murray St.,OVC,San Francisco,92,87,W
3/17/22,San Francisco,WCC,Murray St.,87,92,L
3/19/22,Arkansas,SEC,New Mexico St.,53,48,W
3/19/22,New Mexico St.,WAC,Arkansas,48,53,L
3/19/22,Baylor,B12,North Carolina,86,93,L
3/19/22,North Carolina,ACC,Baylor,93,86,W
4/2/22,Duke,ACC,North Carolina,77,81,L
4/2/22,North Carolina,ACC,Duke,81,77,W
4/4/22,Kansas,B12,North Carolina,72,69,W
4/4/22,North Carolina,ACC,Kansas,69,72,L
3/25/22,North Carolina,ACC,UCLA,73,66,W
3/25/22,UCLA,P12,North Carolina,66,73,L
3/21/22,Northern Colorado,BSky,UNC Asheville,87,84,W
3/21/22,UNC Asheville,BSth,Northern Colorado,84,87,L
3/18/22,Alabama,SEC,Notre Dame,64,78,L
3/18/22,Notre Dame,ACC,Alabama,78,64,W
3/16/22,Notre Dame,ACC,Rutgers,89,87,W
3/16/22,Rutgers,B10,Notre Dame,87,89,L
3/20/22,Notre Dame,ACC,Texas Tech,53,59,L
3/20/22,Texas Tech,B12,Notre Dame,59,53,W
3/20/22,Ohio St.,B10,Villanova,61,71,L
3/20/22,Villanova,BE,Ohio St.,71,61,W
3/19/22,Ohio,MAC,Rice,65,64,W
3/19/22,Rice,CUSA,Ohio,64,65,L
3/25/22,Kansas,B12,Providence,66,61,W
3/25/22,Providence,BE,Kansas,61,66,L
3/17/22,Providence,BE,South Dakota St.,66,57,W
3/17/22,South Dakota St.,Sum,Providence,57,66,L
3/18/22,Purdue,B10,Yale,78,56,W
3/18/22,Yale,Ivy,Purdue,56,78,L
3/19/22,Providence,BE,Richmond,79,51,W
3/19/22,Richmond,A10,Providence,51,79,L
3/19/22,Saint Mary's,WCC,UCLA,56,72,L
3/19/22,UCLA,P12,Saint Mary's,72,56,W
3/19/22,Murray St.,OVC,Saint Peter's,60,70,L
3/19/22,Saint Peter's,MAAC,Murray St.,70,60,W
3/27/22,North Carolina,ACC,Saint Peter's,69,49,W
3/27/22,Saint Peter's,MAAC,North Carolina,49,69,L
3/25/22,Purdue,B10,Saint Peter's,64,67,L
3/25/22,Saint Peter's,MAAC,Purdue,67,64,W
3/18/22,Seton Hall,BE,TCU,42,69,L
3/18/22,TCU,B12,Seton Hall,69,42,W
3/29/22,St. Bonaventure,A10,Xavier,77,84,L
3/29/22,Xavier,BE,St. Bonaventure,84,77,W
3/19/22,Stephen F. Austin,WAC,UNC Asheville,68,80,L
3/19/22,UNC Asheville,BSth,Stephen F. Austin,80,68,W
3/20/22,Arizona,P12,TCU,85,80,W
3/20/22,TCU,B12,Arizona,80,85,L
3/15/22,Texas A&M Corpus Chris,Slnd,Texas Southern,67,76,L
3/15/22,Texas Southern,SWAC,Texas A&M Corpus Chris,76,67,W
3/17/22,Kansas,B12,Texas Southern,83,56,W
3/17/22,Texas Southern,SWAC,Kansas,56,83,L
3/24/22,Duke,ACC,Texas Tech,78,73,W
3/24/22,Texas Tech,B12,Duke,73,78,L
3/20/22,Purdue,B10,Texas,81,71,W
3/20/22,Texas,B12,Purdue,71,81,L
3/18/22,Texas,B12,Virginia Tech,81,73,W
3/18/22,Virginia Tech,ACC,Texas,73,81,L
3/22/22,Northern Colorado,BSky,UNC Wilmington,64,80,L
3/22/22,UNC Wilmington,CAA,Northern Colorado,80,64,W
3/20/22,UNC Wilmington,CAA,VMI,93,78,W
3/20/22,VMI,SC,UNC Wilmington,78,93,L
4/2/22,Kansas,B12,Villanova,81,65,W
4/2/22,Villanova,BE,Kansas,65,81,L
3/29/22,Texas A&M,SEC,Washington St.,72,56,W
3/29/22,Washington St.,P12,Texas A&M,56,72,L
3/18/22,Arizona,P12,Wright St.,87,70,W
3/18/22,Wright St.,Horz,Arizona,70,87,L
3/31/22,Texas A&M,SEC,Xavier,72,73,L
3/31/22,Xavier,BE,Texas A&M,73,72,W
