date,team_1,t1_conf,team_2,t1_score,t2_score,win_loss
3/19/21,Oregon St.,P12,Tennessee,70,56,W
3/19/21,Tennessee,SEC,Oregon St.,56,70,L
3/22/21,Iowa,B10,Oregon,80,95,L
3/22/21,Oregon,P12,Iowa,95,80,W
3/28/21,Oregon,P12,USC,68,82,L
3/28/21,USC,P12,Oregon,82,68,W
3/23/21,Bellarmine,ASun,Pepperdine,71,82,L
3/23/21,Pepperdine,WCC,Bellarmine,82,71,W
3/19/21,Clemson,ACC,Rutgers,56,60,L
3/19/21,Rutgers,B10,Clemson,60,56,W
3/21/21,Houston,Amer,Rutgers,63,60,W
3/21/21,Rutgers,B10,Houston,60,63,L
3/18/21,Boise St.,MWC,SMU,85,84,W
3/18/21,SMU,Amer,Boise St.,84,85,L
3/20/21,LSU,SEC,St. Bonaventure,76,61,W
3/20/21,St. Bonaventure,A10,LSU,61,76,L
3/22/21,Bowling Green,MAC,Stetson,52,53,L
3/22/21,Stetson,ASun,Bowling Green,53,52,W
3/23/21,Coastal Carolina,SB,Stetson,77,72,W
3/23/21,Stetson,ASun,Coastal Carolina,72,77,L
3/27/21,Houston,Amer,Syracuse,62,46,W
3/27/21,Syracuse,ACC,Houston,46,62,L
3/19/21,San Diego St.,MWC,Syracuse,62,78,L
3/19/21,Syracuse,ACC,San Diego St.,78,62,W
3/21/21,Syracuse,ACC,West Virginia,75,72,W
3/21/21,West Virginia,B12,Syracuse,72,75,L
3/20/21,Michigan,B10,Texas Southern,82,66,W
3/20/21,Texas Southern,SWAC,Michigan,66,82,L
3/18/21,Mount St. Mary's,NEC,Texas Southern,52,60,L
3/18/21,Texas Southern,SWAC,Mount St. Mary's,60,52,W
3/21/21,Arkansas,SEC,Texas Tech,68,66,W
3/21/21,Texas Tech,B12,Arkansas,66,68,L
3/17/21,Richmond,A10,Toledo,76,66,W
3/17/21,Toledo,MAC,Richmond,66,76,L
3/20/21,Creighton,BE,UC Santa Barbara,63,62,W
3/20/21,UC Santa Barbara,BW,Creighton,62,63,L
3/28/21,Alabama,SEC,UCLA,78,88,L
3/28/21,UCLA,P12,Alabama,88,78,W
3/20/21,BYU,WCC,UCLA,62,73,L
3/20/21,UCLA,P12,BYU,73,62,W
4/3/21,Gonzaga,WCC,UCLA,93,90,W
4/3/21,UCLA,P12,Gonzaga,90,93,L
3/18/21,Michigan St.,B10,UCLA,80,86,L
3/18/21,UCLA,P12,Michigan St.,86,80,W
3/30/21,Michigan,B10,UCLA,49,51,L
3/30/21,UCLA,P12,Michigan,51,49,W
3/20/21,Florida St.,ACC,UNC Greensboro,64,54,W
3/20/21,UNC Greensboro,SC,Florida St.,54,64,L
3/30/21,Gonzaga,WCC,USC,85,66,W
3/30/21,USC,P12,Gonzaga,66,85,L
3/22/21,Kansas,B12,USC,51,85,L
3/22/21,USC,P12,Kansas,85,51,W
3/19/21,Texas Tech,B12,Utah St.,65,53,W
3/19/21,Utah St.,MWC,Texas Tech,53,65,L
3/27/21,Baylor,B12,Villanova,62,51,W
3/27/21,Villanova,BE,Baylor,51,62,L
3/19/21,Florida,SEC,Virginia Tech,75,70,W
3/19/21,Virginia Tech,ACC,Florida,70,75,L
3/17/21,Saint Mary's,WCC,Western Kentucky,67,69,L
3/17/21,Western Kentucky,CUSA,Saint Mary's,69,67,W
3/19/21,Villanova,BE,Winthrop,73,63,W
3/19/21,Winthrop,BSth,Villanova,63,73,L
3/21/21,Baylor,B12,Wisconsin,76,63,W
3/21/21,Wisconsin,B10,Baylor,63,76,L
3/19/21,North Carolina,ACC,Wisconsin,62,85,L
3/19/21,Wisconsin,B10,North Carolina,85,62,W
