date,team_1,t1_conf,team_2,t1_score,t2_score,win_loss
3/21/19,Old Dominion,CUSA,Purdue,48,61,L
3/21/19,Purdue,B10,Old Dominion,61,48,W
3/28/19,Oregon,P12,Virginia,49,53,L
3/28/19,Virginia,ACC,Oregon,53,49,W
3/22/19,Oregon,P12,Wisconsin,72,54,W
3/22/19,Wisconsin,B10,Oregon,54,72,L
3/19/19,Fairleigh Dickinson,NEC,Prairie View A&M,82,76,W
3/19/19,Prairie View A&M,SWAC,Fairleigh Dickinson,76,82,L
3/28/19,Purdue,B10,Tennessee,99,94,W
3/28/19,Tennessee,SEC,Purdue,94,99,L
3/30/19,Purdue,B10,Virginia,75,80,L
3/30/19,Virginia,ACC,Purdue,80,75,W
3/22/19,Saint Louis,A10,Virginia Tech,52,66,L
3/22/19,Virginia Tech,ACC,Saint Louis,66,52,W
3/21/19,Saint Mary's,WCC,Villanova,57,61,L
3/21/19,Villanova,BE,Saint Mary's,61,57,W
3/21/19,Seton Hall,BE,Wofford,68,84,L
3/21/19,Wofford,SC,Seton Hall,84,68,W
3/20/19,Arizona St.,P12,St. John's,74,65,W
3/20/19,St. John's,BE,Arizona St.,65,74,L
3/19/19,Belmont,OVC,Temple,81,70,W
3/19/19,Temple,Amer,Belmont,70,81,L
3/30/19,Gonzaga,WCC,Texas Tech,69,75,L
3/30/19,Texas Tech,B12,Gonzaga,75,69,W
4/6/19,Michigan St.,B10,Texas Tech,51,61,L
4/6/19,Texas Tech,B12,Michigan St.,61,51,W
3/28/19,Michigan,B10,Texas Tech,44,63,L
3/28/19,Texas Tech,B12,Michigan,63,44,W
4/8/19,Texas Tech,B12,Virginia,77,85,L
4/8/19,Virginia,ACC,Texas Tech,85,77,W
4/2/19,TCU,B12,Texas,44,58,L
4/2/19,Texas,B12,TCU,58,44,W
3/22/19,Kansas St.,B12,UC Irvine,64,70,L
3/22/19,UC Irvine,BW,Kansas St.,70,64,W
3/24/19,Oregon,P12,UC Irvine,73,54,W
3/24/19,UC Irvine,BW,Oregon,54,73,L
3/24/19,Duke,ACC,UCF,77,76,W
3/24/19,UCF,Amer,Duke,76,77,L
3/22/19,UCF,Amer,VCU,73,58,W
3/22/19,VCU,A10,UCF,58,73,L
3/21/19,Florida St.,ACC,Vermont,76,69,W
3/21/19,Vermont,AE,Florida St.,69,76,L
3/23/19,Purdue,B10,Villanova,87,61,W
3/23/19,Villanova,BE,Purdue,61,87,L
3/29/19,Duke,ACC,Virginia Tech,75,73,W
3/29/19,Virginia Tech,ACC,Duke,73,75,L
3/24/19,North Carolina,ACC,Washington,81,59,W
3/24/19,Washington,P12,North Carolina,59,81,L
3/22/19,Utah St.,MWC,Washington,61,78,L
3/22/19,Washington,P12,Utah St.,78,61,W
4/2/19,Lipscomb,ASun,Wichita St.,71,64,W
4/2/19,Wichita St.,Amer,Lipscomb,64,71,L
3/23/19,Kentucky,SEC,Wofford,62,56,W
3/23/19,Wofford,SC,Kentucky,56,62,L
3/21/19,LSU,SEC,Yale,79,74,W
3/21/19,Yale,Ivy,LSU,74,79,L
