date,team_1,t1_conf,team_2,t1_score,t2_score,win_loss
3/17/18,Alabama,SEC,Villanova,58,81,L
3/17/18,Villanova,BE,Alabama,81,58,W
3/15/18,Alabama,SEC,Virginia Tech,86,83,W
3/15/18,Virginia Tech,ACC,Alabama,83,86,L
3/16/18,Bucknell,Pat,Michigan St.,78,82,L
3/16/18,Michigan St.,B10,Bucknell,82,78,W
3/15/18,Arizona,P12,Buffalo,68,89,L
3/15/18,Buffalo,MAC,Arizona,89,68,W
3/17/18,Buffalo,MAC,Kentucky,75,95,L
3/17/18,Kentucky,SEC,Buffalo,95,75,W
3/16/18,Arkansas,SEC,Butler,62,79,L
3/16/18,Butler,BE,Arkansas,79,62,W
3/18/18,Butler,BE,Purdue,73,76,L
3/18/18,Purdue,B10,Butler,76,73,W
3/16/18,Cal St. Fullerton,BW,Purdue,48,74,L
3/16/18,Purdue,B10,Cal St. Fullerton,74,48,W
3/18/18,Auburn,SEC,Clemson,53,84,L
3/18/18,Clemson,ACC,Auburn,84,53,W
3/23/18,Clemson,ACC,Kansas,76,80,L
3/23/18,Kansas,B12,Clemson,80,76,W
3/16/18,Auburn,SEC,College of Charleston,62,58,W
3/16/18,College of Charleston,CAA,Auburn,58,62,L
3/15/18,Davidson,A10,Kentucky,73,78,L
3/15/18,Kentucky,SEC,Davidson,78,73,W
3/25/18,Duke,ACC,Kansas,81,85,L
3/25/18,Kansas,B12,Duke,85,81,W
3/22/18,Florida St.,ACC,Gonzaga,75,60,W
3/22/18,Gonzaga,WCC,Florida St.,60,75,L
3/24/18,Florida St.,ACC,Michigan,54,58,L
3/24/18,Michigan,B10,Florida St.,58,54,W
3/16/18,Florida St.,ACC,Missouri,67,54,W
3/16/18,Missouri,SEC,Florida St.,54,67,L
3/18/18,Florida St.,ACC,Xavier,75,70,W
3/18/18,Xavier,BE,Florida St.,70,75,L
3/17/18,Florida,SEC,Texas Tech,66,69,L
3/17/18,Texas Tech,B12,Florida,69,66,W
3/16/18,Cincinnati,Amer,Georgia St.,68,53,W
3/16/18,Georgia St.,SB,Cincinnati,53,68,L
3/17/18,Houston,Amer,Michigan,63,64,L
3/17/18,Michigan,B10,Houston,64,63,W
3/15/18,Duke,ACC,Iona,89,67,W
3/15/18,Iona,MAAC,Duke,67,89,L
3/16/18,Creighton,BE,Kansas St.,59,69,L
3/16/18,Kansas St.,B12,Creighton,69,59,W
3/22/18,Kansas St.,B12,Kentucky,61,58,W
3/22/18,Kentucky,SEC,Kansas St.,58,61,L
